Name,Website,Industry,Country,Funding Amount (USD),Funding Type,Last Funding Date
EarthSync,earthsync.io,"Energy, Analytics, Artificial Intelligence, B2B Software, Environment",India,"$1,000,000",Pre-Seed,Feb-26
4baseCare,4basecare.com,"Healthcare, Artificial Intelligence, B2B Software, Biotechnology, Data",India,"$9,803,025",Series B,Feb-26
Cava Athleisure,cavaathleisure.com,"Fashion, Wellness, Consumer Goods, E-commerce, Fitness, Retail",India,"$4,353,085",Series A,Feb-26
JuniorGo,juniorgo.in,"Education, Finance, Personal Development",India,,Pre-Seed,Feb-26
Entellus Industries,entellusind.com,"Materials, Automotive, Electronics, EV, Manufacturing",India,"$5,446,125",Seed,Feb-26
EZBillPay,EZBillPay.in,"FinTech, Finance, B2B Software",India,,Pre-Seed,Feb-26
1Buy.AI,1buy.ai,"B2B Software, Artificial Intelligence, Data, Hardware",India,"$3,534,664",Seed,Feb-26
MyRental,myrental.co.in,"Property Management, Home Services, Real Estate",India,,Pre-Seed,Feb-26
D-propulse Aerospace,d-propulse.com,"Aerospace, Government, Hardware, Manufacturing, Mechanical Engineering",India,"$2,728,575",Seed,Feb-26
ScrapUncle,scrapuncle.com,"Home Services, B2C Software, Mobile",India,"$2,396,295",Seed,Feb-26
Easy Home Finance,easyhomefinance.in,"FinTech, Finance, Real Estate",India,"$30,000,000",Series C,Feb-26
The Stack,thestack.club,"Nutrition and Supplements, Wellness, Consumer Goods, Retail",India,"$600,287",Pre-Seed,Feb-26
AquaAirX,aquaairx.com,"Drones, Artificial Intelligence, B2B Software, Cloud Computing, Hardware, Marine, Robotics",India,"$1,357,081",Seed,Feb-26
Biopeak,biopeak.com,"Healthcare, Analytics, Artificial Intelligence, Biotechnology",India,"$2,698,912",Seed,Feb-26
Steadfast Business Consulting,steadfastconsultants.in,"Accounting, Finance, Professional Services",India,,Seed,Feb-26
Mysa,mysa.io,"FinTech, Finance, Accounting, B2B Software",India,"$3,400,000",Seed,Feb-26
SpotDraft,spotdraft.com,"B2B Software, Legal",India,"$8,000,000",Series B,Feb-26
Nivaan Care,nivaancare.com,Healthcare,India,"$7,000,000",Series A,Feb-26
Varaha,varaha.earth,"Agriculture, Environment",India,"$20,000,000",Series B,Feb-26
ZILO,zilo.one,"Fashion, E-commerce, Marketplace, Retail",India,"$15,300,000",Series A,Feb-26
Sippy Films,sippyfilms.com.,"Entertainment, Media",India,,Venture - Series Unknown,Feb-26
The Whole Truth,thewholetruthfoods.com,"Food and Beverage, Wellness, Consumer Goods, E-commerce, Nutrition and Supplements",India,"$51,000,000",Series D,Feb-26
OneStack,onestack.in,"FinTech, Finance, B2B Software",India,,Series A,Feb-26
Taasha Craft,taashacraft.com,"Retail, Consumer Goods, E-commerce, Fashion, Manufacturing",India,"$82,941",Seed,Feb-26
NASH Industries,nashindia.com,"Manufacturing, Hardware, Mechanical Engineering",India,,Private Equity,Feb-26
JS AutoCast,jsautocast.com,"Manufacturing, Automotive, Materials, Mechanical Engineering",India,"$32,773,634",Venture - Series Unknown,Feb-26
Good Monk,goodmonk.in,"Food and Beverage, Wellness, Consumer Goods, E-commerce, Nutrition and Supplements",India,"$3,649,396",Series A,Feb-26
Mefron Technologies,mefron.com,"Electronics, Hardware, Manufacturing",India,,Private Equity,Feb-26
Gamepoint India,gamepointindia.com,"Sports, Wellness, Education, Fitness, Recreation",India,"$774,248",Seed,Feb-26
Material Depot,materialdepot.in,"Artificial Intelligence, B2B Software, Home Services",India,"$10,000,000",Series A,Feb-26
Aditya Birla Housing Finance,homefinance.adityabirlacapital.com,"Finance, Real Estate",India,"$304,527,929",Private Equity,Feb-26
Neverinstall,neverinstall.com,"Cloud Computing, B2B Software, B2C Software",India,,Seed,Feb-26
EyeROV,eyerov.com,"Drones, Artificial Intelligence, Analytics, B2B Software, Hardware, Marine, Robotics",India,"$1,437,641",Seed,Feb-26
Doodley,doodley.in,"Pets, Food and Beverage, Consumer Goods, Retail",India,"$2,211,755",Seed,Feb-26
CHINI KUM,drinkchinikum.com,"Food and Beverage, Consumer Goods, Wellness",India,"$110,607",Pre-Seed,Feb-26
Jain Cord Industries,jaincord.com,"Fashion, Consumer Goods, Manufacturing",India,"$22,155,179",Series A,Feb-26
Krvvy,krvvy.com,"Fashion, Consumer Goods, E-commerce, Retail",India,"$132,728",Seed,Feb-26
Curapod,litemed.co.in,"Healthcare, Hardware",India,"$2,209,596",Seed,Feb-26
Elixiir Foods,elixiirfoods.com,"Food and Beverage, Consumer Goods, E-commerce, Manufacturing, Retail",India,"$9,000,000",Seed,Feb-26
GO DESi,godesi.in,"Food and Beverage, Consumer Goods, E-commerce, Manufacturing, Retail",India,,Series B,Feb-26
DUSQ,getinnergize.com,"Mental Health, Wellness, Hardware, Healthcare, Wearables",India,"$2,649,258",Seed,Feb-26
Digitory,digitory.com,"Artificial Intelligence, Analytics, B2B Software, Data, E-commerce",India,"$500,000",Seed,Feb-26
DSLR Technologies,dslrteam.com,"E-commerce, B2B Software, Marketing, Social Network",India,"$8,823,156",Series A,Feb-26
e-TRNL Energy,e-trnl.energy,"Energy, Electronics, Hardware, Manufacturing, Materials",India,"$3,020,230",Seed,Feb-26
GREW Solar,thegrewsolar.com,"Energy, Electronics, Hardware, Manufacturing",India,"$115,738,738",Private Equity,Feb-26
Supertails,supertails.com,"Pets, E-commerce, Healthcare, Retail",India,"$30,000,000",Series C,Feb-26
WellWith India Pvt. Ltd.,wellwithlife.com,"Nutrition and Supplements, Wellness, Beauty, Consumer Goods, E-commerce, Food and Beverage, Retail",India,"$137,862",Seed,Feb-26
SteamPRO,steampro.in.,"Hardware, Consumer Goods, Electronics, Wellness",India,"$419,577",Seed,Feb-26
Slurrp Farm,slurrpfarm.com,"Food and Beverage, Wellness, Consumer Goods, E-commerce, Family, Nutrition and Supplements, Retail",India,"$3,314,394",Series C,Feb-26
Nester India,nesterstore.com,"E-commerce, Consumer Goods, Electronics, Retail",India,"$2,097,883",Seed,Feb-26
True Balance,truebalance.io,"Mobile, B2C Software, Telecommunications",India,"$21,918,324",Series E,Feb-26
Pandorum Technologies,pandorum.com,"Biotechnology, Healthcare, Pharmaceuticals",India,"$18,000,000",Series B,Feb-26
Benny’s Bowl,bennysbowl.com,"Pets, Consumer Goods, E-commerce, Food and Beverage, Retail",India,"$1,400,000",Seed,Feb-26
Articulus Surgical,articulussurgical.com,"Robotics, Healthcare, Hardware",India,,Seed,Feb-26
Heliware,heliware.co.in,"Analytics, 3D, Artificial Intelligence, B2B Software, Cloud Computing, Data",India,"$496,736",Venture - Series Unknown,Feb-26
BigHaat,bighaat.com,"Agriculture, E-commerce, Marketplace",India,"$10,000,000",Series D,Feb-26
CleanMax,cleanmax.com,"Energy, Environment",India,"$165,434,178",Private Equity,Feb-26
