Name,Website,Industry,Country,Funding Amount (USD),Funding Type,Last Funding Date,Is_Undisclosed,Month,Month_Num,Primary Industry,Industry_Count,Stage_Group
EarthSync,earthsync.io,"Energy, Analytics, Artificial Intelligence, B2B Software, Environment",India,1000000.0,Pre-Seed,2026-02-01,False,Feb-2026,2,Energy,5,Early Stage
4baseCare,4basecare.com,"Healthcare, Artificial Intelligence, B2B Software, Biotechnology, Data",India,9803025.0,Series B,2026-02-01,False,Feb-2026,2,Healthcare,5,Growth Stage
Cava Athleisure,cavaathleisure.com,"Fashion, Wellness, Consumer Goods, E-commerce, Fitness, Retail",India,4353085.0,Series A,2026-02-01,False,Feb-2026,2,Fashion,6,Growth Stage
JuniorGo,juniorgo.in,"Education, Finance, Personal Development",India,0.0,Pre-Seed,2026-02-01,True,Feb-2026,2,Education,3,Early Stage
Entellus Industries,entellusind.com,"Materials, Automotive, Electronics, EV, Manufacturing",India,5446125.0,Seed,2026-02-01,False,Feb-2026,2,Materials,5,Early Stage
EZBillPay,EZBillPay.in,"FinTech, Finance, B2B Software",India,0.0,Pre-Seed,2026-02-01,True,Feb-2026,2,FinTech,3,Early Stage
1Buy.AI,1buy.ai,"B2B Software, Artificial Intelligence, Data, Hardware",India,3534664.0,Seed,2026-02-01,False,Feb-2026,2,B2B Software,4,Early Stage
MyRental,myrental.co.in,"Property Management, Home Services, Real Estate",India,0.0,Pre-Seed,2026-02-01,True,Feb-2026,2,Property Management,3,Early Stage
D-propulse Aerospace,d-propulse.com,"Aerospace, Government, Hardware, Manufacturing, Mechanical Engineering",India,2728575.0,Seed,2026-02-01,False,Feb-2026,2,Aerospace,5,Early Stage
ScrapUncle,scrapuncle.com,"Home Services, B2C Software, Mobile",India,2396295.0,Seed,2026-02-01,False,Feb-2026,2,Home Services,3,Early Stage
Easy Home Finance,easyhomefinance.in,"FinTech, Finance, Real Estate",India,30000000.0,Series C,2026-02-01,False,Feb-2026,2,FinTech,3,Growth Stage
The Stack,thestack.club,"Nutrition and Supplements, Wellness, Consumer Goods, Retail",India,600287.0,Pre-Seed,2026-02-01,False,Feb-2026,2,Nutrition and Supplements,4,Early Stage
AquaAirX,aquaairx.com,"Drones, Artificial Intelligence, B2B Software, Cloud Computing, Hardware, Marine, Robotics",India,1357081.0,Seed,2026-02-01,False,Feb-2026,2,Drones,7,Early Stage
Biopeak,biopeak.com,"Healthcare, Analytics, Artificial Intelligence, Biotechnology",India,2698912.0,Seed,2026-02-01,False,Feb-2026,2,Healthcare,4,Early Stage
Steadfast Business Consulting,steadfastconsultants.in,"Accounting, Finance, Professional Services",India,0.0,Seed,2026-02-01,True,Feb-2026,2,Accounting,3,Early Stage
Mysa,mysa.io,"FinTech, Finance, Accounting, B2B Software",India,3400000.0,Seed,2026-02-01,False,Feb-2026,2,FinTech,4,Early Stage
SpotDraft,spotdraft.com,"B2B Software, Legal",India,8000000.0,Series B,2026-02-01,False,Feb-2026,2,B2B Software,2,Growth Stage
Nivaan Care,nivaancare.com,Healthcare,India,7000000.0,Series A,2026-02-01,False,Feb-2026,2,Healthcare,1,Growth Stage
Varaha,varaha.earth,"Agriculture, Environment",India,20000000.0,Series B,2026-02-01,False,Feb-2026,2,Agriculture,2,Growth Stage
ZILO,zilo.one,"Fashion, E-commerce, Marketplace, Retail",India,15300000.0,Series A,2026-02-01,False,Feb-2026,2,Fashion,4,Growth Stage
Sippy Films,sippyfilms.com.,"Entertainment, Media",India,0.0,Venture - Series Unknown,2026-02-01,True,Feb-2026,2,Entertainment,2,Other/Unknown
The Whole Truth,thewholetruthfoods.com,"Food and Beverage, Wellness, Consumer Goods, E-commerce, Nutrition and Supplements",India,51000000.0,Series D,2026-02-01,False,Feb-2026,2,Food and Beverage,5,Late Stage
OneStack,onestack.in,"FinTech, Finance, B2B Software",India,0.0,Series A,2026-02-01,True,Feb-2026,2,FinTech,3,Growth Stage
Taasha Craft,taashacraft.com,"Retail, Consumer Goods, E-commerce, Fashion, Manufacturing",India,82941.0,Seed,2026-02-01,False,Feb-2026,2,Retail,5,Early Stage
NASH Industries,nashindia.com,"Manufacturing, Hardware, Mechanical Engineering",India,0.0,Private Equity,2026-02-01,True,Feb-2026,2,Manufacturing,3,Private Equity
JS AutoCast,jsautocast.com,"Manufacturing, Automotive, Materials, Mechanical Engineering",India,32773634.0,Venture - Series Unknown,2026-02-01,False,Feb-2026,2,Manufacturing,4,Other/Unknown
Good Monk,goodmonk.in,"Food and Beverage, Wellness, Consumer Goods, E-commerce, Nutrition and Supplements",India,3649396.0,Series A,2026-02-01,False,Feb-2026,2,Food and Beverage,5,Growth Stage
Mefron Technologies,mefron.com,"Electronics, Hardware, Manufacturing",India,0.0,Private Equity,2026-02-01,True,Feb-2026,2,Electronics,3,Private Equity
Gamepoint India,gamepointindia.com,"Sports, Wellness, Education, Fitness, Recreation",India,774248.0,Seed,2026-02-01,False,Feb-2026,2,Sports,5,Early Stage
Material Depot,materialdepot.in,"Artificial Intelligence, B2B Software, Home Services",India,10000000.0,Series A,2026-02-01,False,Feb-2026,2,Artificial Intelligence,3,Growth Stage
Aditya Birla Housing Finance,homefinance.adityabirlacapital.com,"Finance, Real Estate",India,304527929.0,Private Equity,2026-02-01,False,Feb-2026,2,Finance,2,Private Equity
Neverinstall,neverinstall.com,"Cloud Computing, B2B Software, B2C Software",India,0.0,Seed,2026-02-01,True,Feb-2026,2,Cloud Computing,3,Early Stage
EyeROV,eyerov.com,"Drones, Artificial Intelligence, Analytics, B2B Software, Hardware, Marine, Robotics",India,1437641.0,Seed,2026-02-01,False,Feb-2026,2,Drones,7,Early Stage
Doodley,doodley.in,"Pets, Food and Beverage, Consumer Goods, Retail",India,2211755.0,Seed,2026-02-01,False,Feb-2026,2,Pets,4,Early Stage
